CourseCode,Day,Location,1800,1830,1900,1930,2000,2030,2100,2130
1022,W,VH,,1,1,1,1,,,
1022,M,WSC,1,1,1,1,1,1,,
1022,M,WSC,1,1,1,1,1,1,,
1022,T,WSC,,1,1,1,1,1,1,1
1520,T,VH,,,1,1,1,1,1,1
1560,R,VH,1,1,1,1,,,,
2021,R,LAS,1,1,1,1,1,1,,
2021,R,LAS,,,1,1,1,1,1,1
2021,T,LAS,,,1,1,1,1,1,1
2021,M,LAS,,,1,1,1,1,1,1
2031,T,LAS,1,1,,,,,,
3221,T,LSB,,,1,1,1,,,
3221,R,LSB,,,1,1,1,,,
3421,W,LSB,,,1,1,1,1,1,1
3421,M,LSB,1,1,,,,,,
3421,W,LSB,1,1,,,,,,
3461,M,LSB,,,1,1,1,,,
3461,W,LSB,,,1,1,1,,,
4315,T,LSB,,1,1,1,,,,
4315,R,LSB,,1,1,1,,,,
4413,M,SC,,,1,1,1,1,,
4413,T,LAS,,,1,1,1,1,,
4413,W,LAS,,,1,1,1,1,,
